TARGET_FID,RF_Number_,RF_Median_,RF_Nationa,RF_Speed_l
1309,2,0,1,50
1310,2,0,1,50
1311,2,0,1,50
1312,2,0,1,50
1313,2,0,1,50
1314,2,0,1,50
1315,2,0,1,50
1316,2,0,1,50
1317,2,0,1,50
1318,2,0,1,50
1319,2,0,1,50
1320,2,0,1,50
1321,2,0,1,50
1322,2,0,1,25
1323,2,0,1,25
1324,2,0,1,50
1325,2,0,1,25
1326,2,0,1,50
1327,2,0,1,50
1328,2,0,1,25
1329,2,0,1,25
1330,3,0,1,25
1331,2,0,1,45
1332,3,0,1,25
1333,2,0,1,25
1334,2,0,1,45
1335,3,0,1,25
1336,2,0,1,50
1337,2,0,1,50
1338,2,0,1,50
1339,2,0,1,50
1340,2,0,1,50
1341,2,0,1,50
1342,2,0,1,50
1343,2,0,1,50
1344,2,0,1,25
1345,2,0,1,25
1346,2,0,1,25
1347,2,0,1,25
1348,2,0,1,25
1349,2,0,1,25
1350,2,0,1,25
1351,2,0,4,60
1352,2,0,0,25
1353,2,0,0,25
1354,2,0,0,25
1355,3,0,1,25
1356,2,0,2,50
1357,2,0,1,25
1358,2,0,2,45
1359,2,0,1,25
1360,2,0,1,25
1361,2,0,1,25
1362,2,0,1,25
1363,2,0,1,25
1364,2,0,1,25
1365,2,0,1,25
1366,2,0,1,25
1367,2,0,1,25
1368,1,0,1,25
1369,6,0,1,25
1370,1,0,1,25
1371,2,0,1,25
1372,2,0,1,25
1373,2,0,1,25
1374,2,0,1,25
1375,2,0,4,25
1376,2,0,1,25
1377,2,0,1,25
1378,2,0,1,40
