TARGET_FID,Ac_Unpr,E8_Svc,D3A,D3BAO,D5CEI,RF_Number_,RF_Speed_l
39310,160.22361,30,17.34652414,0,0.802401146,3,35
39311,141.41491,12,24.48768772,0,0.87348827,2,25
39312,141.41491,12,24.48768772,0,0.87348827,2,25
39313,141.41491,12,24.48768772,0,0.87348827,2,25
39314,141.41491,12,24.48768772,0,0.87348827,2,25
39315,123.2191,10,18.31313997,0,0.840951647,2,25
39316,123.2191,10,18.31313997,0,0.840951647,2,25
39317,123.2191,10,18.31313997,0,0.840951647,2,25
39318,123.2191,10,18.31313997,0,0.840951647,2,25
39319,123.2191,10,18.31313997,0,0.840951647,2,25
39320,160.22361,30,17.34652414,0,0.802401146,2,35
39321,141.41491,12,24.48768772,0,0.87348827,2,25
39322,123.2191,10,18.31313997,0,0.840951647,2,25
39323,123.2191,10,18.31313997,0,0.840951647,2,25
39324,123.2191,10,18.31313997,0,0.840951647,2,25
39325,160.22361,30,17.34652414,0,0.802401146,2,25
39326,136.95636,69,21.07836342,0,0.795329882,2,25
39327,136.95636,69,21.07836342,0,0.795329882,2,25
39329,136.95636,69,21.07836342,0,0.795329882,2,25
39330,80.7416547,38,21.30298397,0,0.815089768,2,25
39331,80.7416547,38,21.30298397,0,0.815089768,3,25
39332,123.2191,10,18.31313997,0,0.840951647,2,25
39333,136.95636,69,21.07836342,0,0.795329882,2,25
39334,136.95636,69,21.07836342,0,0.795329882,2,25
39335,136.95636,69,21.07836342,0,0.795329882,2,25
39336,136.95636,69,21.07836342,0,0.795329882,2,25
39337,80.7416547,38,21.30298397,0,0.815089768,2,25
39338,80.7416547,38,21.30298397,0,0.815089768,2,25
39339,123.2191,10,18.31313997,0,0.840951647,2,25
39340,160.22361,30,17.34652414,0,0.802401146,2,25
39341,123.2191,10,18.31313997,0,0.840951647,2,25
39342,165.30533,48,19.88779745,0,0.884722987,2,25
39343,165.30533,48,19.88779745,0,0.884722987,2,25
39344,123.2191,10,18.31313997,0,0.840951647,2,25
39345,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39346,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39347,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39348,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39349,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39350,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39351,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39352,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39353,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39354,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39356,123.2191,10,18.31313997,0,0.840951647,2,25
39358,123.2191,10,18.31313997,0,0.840951647,2,25
39359,123.2191,10,18.31313997,0,0.840951647,2,25
39360,123.2191,10,18.31313997,0,0.840951647,2,25
39361,123.2191,10,18.31313997,0,0.840951647,2,25
39363,136.95636,69,21.07836342,0,0.795329882,2,25
39364,136.95636,69,21.07836342,0,0.795329882,2,25
39365,136.95636,69,21.07836342,0,0.795329882,2,25
39366,136.95636,69,21.07836342,0,0.795329882,2,25
39367,136.95636,69,21.07836342,0,0.795329882,2,25
39369,80.7416547,38,21.30298397,0,0.815089768,3,25
39370,80.7416547,38,21.30298397,0,0.815089768,3,25
39379,80.7416547,38,21.30298397,0,0.815089768,1,25
39380,80.7416547,38,21.30298397,0,0.815089768,2,35
39381,161.7724164,39,20.88672079,7.91235013,0.781319529,2,35
39383,141.41491,12,24.48768772,0,0.87348827,2,25
39384,141.41491,12,24.48768772,0,0.87348827,2,25
39386,136.95636,69,21.07836342,0,0.795329882,2,25
39387,136.95636,69,21.07836342,0,0.795329882,2,25
39388,136.95636,69,21.07836342,0,0.795329882,2,25
39389,136.95636,69,21.07836342,0,0.795329882,3,25
