TARGET_FID,Number_of_lanes,"Population,_2018","Households_(occupied_housing_units),_2018","Percent_of_zero-car_households_in_CBG,_2018","Total_employment,_2017"
696,2,4317,1790,0.011731844,2306
697,1,4317,1790,0.011731844,2306
698,1,4317,1790,0.011731844,2306
699,2,4317,1790,0.011731844,2306
700,2,4317,1790,0.011731844,2306
701,2,4317,1790,0.011731844,2306
702,2,4317,1790,0.011731844,2306
703,2,4317,1790,0.011731844,2306
704,2,4317,1790,0.011731844,2306
705,1,4317,1790,0.011731844,2306
706,2,4317,1790,0.011731844,2306
707,2,4317,1790,0.011731844,2306
708,2,4317,1790,0.011731844,2306
709,2,4317,1790,0.011731844,2306
710,2,4317,1790,0.011731844,2306
711,2,4317,1790,0.011731844,2306
712,3,4317,1790,0.011731844,2306
713,3,4317,1790,0.011731844,2306
714,2,4317,1790,0.011731844,2306
715,3,4317,1790,0.011731844,2306
716,2,4317,1790,0.011731844,2306
717,2,4317,1790,0.011731844,2306
718,2,4317,1790,0.011731844,2306
719,2,4317,1790,0.011731844,2306
720,2,4317,1790,0.011731844,2306
721,2,4317,1790,0.011731844,2306
722,2,4317,1790,0.011731844,2306
723,2,4317,1790,0.011731844,2306
